Q23008452	Ronja von Rönne
Q7028174	Nick Xenophon
Q497935	What? Where? When?
Q2425581	Thomas Kruse
Q2471725	Lenin in 1918
Q18693761	2015 IAM
Q2871535	Augustin Bonrepaux
Q319491	Shahid Kapoor
Q630293	Manos Katrakis
Q1683472	Jared Hodgkiss
Q5596244	Grant Hall
Q60530	Jérémie Bréchet
Q325453	Daniel Toscan du Plantier
Q4795181	Arnold Morley
Q172140	Michael Crichton
Q1185466	Rodrigo Mendes
Q109074	Thomas Harlan
Q276213	Tom Huddlestone
Q4886574	Ben Tomlinson
Q16169065	María Jesús Aramburu del Río
Q19904275	Minister of Public Order
Q110363	Heinz Wismann
Q335598	Derek Sherinian
Q6446842	Kurt Lambeck
Q1360747	Ernst Zühlke
Q69024	Ulrich Zasius
Q1001839	François Bourguignon
Q933450	Javier Margas
Q11928385	Jordi Xuclà
Q7811758	Toby Ajala
Q3166300	Jean-Jacques Hyest
Q21587548	Franco Cacciatori
Q3306076	Hurricane Alex
Q3571662	Yann LeCun
Q11825058	Paul of Aleppo
Q538322	Brian Labone
Q37333	Lublin
Q742210	Slade Gorton
Q5526101	Gary Wales
Q3793500	The pigeon
Q27346919	Silvia Radu
Q1729788	Karl-Günther von Hase
Q1126453	Conny Mayer-Bonde
Q29043605	Order of St. Sergius of Radonezh 1st class
Q349125	Dejan Lovren
Q3113180	Grady Webster
Q1408854	Valerio Bertotto
Q2613311	Jukka Gustafsson
Q1539269	Gottfried Jungmichel
Q55560451	María Francisca Valle Fuentes
Q2444202	Jure Travner
Q55978808	2018 Gay Games
Q19849209	José Azmitia
Q85618	Nicolas Born
Q21471	Obersoultzbach
Q6229408	John Dickson-Poynder, 1st Baron Islington
Q6111375	Jack Bradshaw
Q2336222	Stefan Esders
Q1685541	Jean Gallois
Q4798224	Arthur Champion, Baron Champion
Q889449	Giorgi Chanturia
Q439438	David Zayas
Q4934085	Bob Stephenson
Q7128803	José Parsifal Barroso
Q116814	Pere Navarro i Morera
Q10288965	Lord George Paget
Q2162852	Roland E. Koch
Q7645142	Supriya Pathak
Q874	Turkmenistan
Q203966	Paul Ryan
Q12019421	Helena Mallotová
Q443737	Jasmin St. Claire
Q435050	Jake Lloyd
Q91101	Karl Georg Bruns
Q2031528	Theodor Kallifatides
Q4924187	Blair Turgott
Q540283	John Taylor
Q5730076	Henry White
Q2062401	Ștefan Octavian Iosif
Q205490	George Mary Searle
Q16227708	Kylla Sjoman
Q5217915	Jeanne Lapauze
Q4681604	Adela Cortina
Q4068989	James Moorhouse
Q21488	Schnersheim
Q129668	2 Chainz
Q357650	Rafał Wolski
Q9029943	Maria Assumpció Català i Poch
Q10381990	Theodor Fahr
Q64518695	Hurricane Orlene
Q9106	Dimitri Mendeleyev
Q187165	Dave Mustaine
Q176041	Elisabeth of Valois
Q2080859	Josh Wright
Q3885549	Oreste Gelmini
Q9696	John F. Kennedy
Q134022	Wilhelm Girnus
Q81219	Sándor Petőfi
Q3616947	Angelo Cupini
Q5538589	George Doughty
Q78559	Otto Erich Deutsch
Q980809	Thomas Robert Shannon Broughton
Q1542561	Mariano Jesús Cuenco
Q7944104	Václav Cílek
Q548724	Nikolaos Kalogeropoulos
Q13014	Franz Jonas
Q1432635	Theatre Academy Helsinki
Q5387671	Eric Van Stryland
Q7609104	Stephen Duckett
Q234030	C. J. Cherryh
Q554689	Peppino De Filippo
Q1144962	Police Story 4: First Strike
Q1443302	Frank Gerster
Q468181	Hochschule für Musik Carl Maria von Weber
Q4758911	Andrew Wiggins
Q1391450	Günther Massenkeil
Q4569882	Philip Zandén
Q2437740	Tobias Colding
Q10396837	David McNiven
Q214559	Ismail I
Q2999150	1988 Family Circle Cup
Q268177	Hyapatia Lee
Q2984048	Pär Stenbäck
Q1352924	Erich P. Ippen
Q29842010	Christian Junge
Q18214310	Cédric Perrin
Q4003376	Umberto Depetrini
Q55388	René Clair
Q2707485	scenographer
Q551362	Louis McLane
Q57535	Sebastian Haffner
Q6988732	Neil Heaney
Q1397290	James Langevin
Q3771008	Giuseppe Minaudo
Q10503265	Ernie Braidwood
Q75250	Kurt-Caesar Hoffmann
Q1581762	Hans Petter Moland
Q2749907	Juan Carlos Aparicio Pérez
Q959470	Genrikh Fedosov
Q809726	Bas Eickhout
Q979312	Marc Shaiman
Q467601	Jon Pertwee
Q1347162	New England Conservatory of Music
Q2156912	Bob Dold
Q654890	1966 Tour de France
Q3470338	Salvador Sánchez-Terán Hernández
Q7693632	Ted Purdon
Q5127790	Clas Edvard Friström
Q68967	1952 Formula One season
Q4153600	August Davidov
Q6370035	Karen Sinclair
Q2827843	Polish Academy Award for Best European Film
Q3818533	Esteve Pedrol i Albareda
Q15955972	2014 Family Circle Cup
Q725042	Jerry Bock
Q28374461	Hakob Harutyunyan
Q7032634	Nigel Shadbolt
Q663784	Brahim Hemdani
Q22058344	Grand Collar of the Order of the Southern Cross
Q677316	Social War
Q1472471	Josef Samu
Q1076636	Luis Caffarelli
Q2328893	Moyez Gulamhussein Vassanji
Q1623097	Thomas Mahlberg
Q523685	Luigi Apolloni
Q101881	Siegfried Balleis
Q1557944	Gwynne Shotwell
Q18611012	2015 Cofidis
Q862086	Indian people
Q64075652	Tropical depression Five
Q21670279	Revd William Thomas (Islwyn, 1832-78) NLW3365371
Q18691951	ASO Ormideia
Q30904187	Xiaoyuan Tu
Q11786749	A woman
Q547536	Henry Fitzalan-Howard, 15th Duke of Norfolk
Q2144892	Elsie Janis
Q1773494	Soyuz TMA-08M
Q3218086	Larry Morey
Q763461	August Preuner
Q45354	The Doors
Q1353562	François de Roubaix
Q1540622	Soyuz TM-15
Q2439861	1970 World Rowing Championships
Q7184447	Philip Syng Physick
Q28722719	Siege of Győr
Q7345792	Robert Ingham
Q6384344	Keith Fear
Q2578164	William Burnham Woods
Q273523	École des Ponts ParisTech
Q313062	Joseph Babinski
Q21396058	Alexander Schaepkens
Q376580	Adri van der Poel
Q5342296	Edward Christian
Q153132	Władysław Sikorski
Q6099477	Ivor Philipps
Q1876277	Luigi Corino
Q467232	Dudu Cearense
Q73990	Adolphe-Théodore Brongniart
Q111996	Otto E. Neugebauer
Q2166688	Roscoe Brady
Q1349613	Fritz Oellers
Q319027	Ernest Ferdinand, Duke of Brunswick-Lüneburg
Q10835425	Typhoon Hester
Q321212	Robert Dhéry
Q347412	Edogawa Rampo
Q1376001	Jimmy Brain
Q3080979	Francesco Grosso
Q17484018	member of the Vermont House of Representatives
Q17305928	Daniele Forte
Q1334976	Kevin Poole
Q2714449	Hércules de Miranda
Q1738596	Ken Dodd
Q64378	Jürgen Untermann
Q1029155	Camille Claudel
Q3187384	Joël Cornette
Q2729378	La Française des jeux 1999
Q18921682	Barry Dunn
Q2958663	Charles Bémont
Q3205508	I See a Dark Stranger
Q391248	Efstathios Tavlaridis
Q835022	Rudolf Seliger
Q127492	Michael Zepek
Q3815433	Fernando Castedo
Q204487	Zine El Abidine Ben Ali
Q1538683	Marco Capparella
Q234370	Paula Modersohn-Becker
Q6293337	José María Sánchez Lage
Q113969	Peter Löscher
Q1171481	The New Land
Q4614	University of Southern California
Q92617	Paul Baran
Q1561817	Günther Schneider
Q6105585	J. Eliot B. Moss
Q4987244	Bulb Fields
Q2393437	Jean-Claude Leroy
Q3726661	Enzo Vecchiè
Q5342798	Edward Evans
Q43259960	Batman: Gotham by Gaslight
Q13595531	Ethan Coen
Q277584	Saša Ilić
Q1047728	Nikolai Grodekov
Q294773	Tom Stoppard
Q4717573	Alex O'Reilly
Q56605823	Chemical Institute of Canada Medal
Q64556100	Tropical Storm Irwin
Q7032280	Nigel Callaghan
Q2272795	Philip Whalen
Q457720	Charlie Ashcroft
Q6838399	Mick Perry
Q6572982	Mats Møller Dæhli
Q1008489	Okean Elzy
Q6113496	Jack Kirton
Q3525207	Thomas Hollway
Q188628	board of directors
Q969946	Linus Hallenius
Q6262992	John Ward
Q706147	Francis Biddle
Q237534	Austrians
Q3188978	Jules de Cholet
Q348271	Joe Fagan
Q171128	Diego Rivera
Q101505	Deep Purple
Q207720	Mahmoud Darwish
Q929320	Derrick Coleman
Q519944	Reuven Barkat
Q1635113	Kathleen Chalfant
Q5394740	Ernie Smith
Q39946570	Gold Medal of Work Merit (Spain)
Q1558936	Gérald Tremblay
Q2351637	Dill
Q192505	Mirko Vučinić
Q4976818	Yvonne Sandberg-Fries
Q1053701	1959–60 Serie B
Q10949778	Fernando Maura
Q190145	Spider-Man 2
Q7351503	Roberta Gilchrist
Q120564	Meishō
Q3425255	Brian Green
Q594688	Didier Angan
Q62478	Juan José Linz
Q72315	Ernst von Dobschütz
Q330376	Abraham Grace Merritt
Q5659824	The young beggar
Q5224977	Darren Horrigan
Q6169109	Jean-Claude Falmagne
Q4918849	Carlos Roberto
Q729082	William D. Leahy
Q3164554	Jean-Barthélémy Le Couteulx de Canteleu
Q10281366	Fernando Gomes
Q215251	Hugo van der Goes
Q319723	Tex Avery
Q321552	Raïs M'Bolhi
Q56093	Blake Edwards
Q118342	Rotraut Susanne Berner
Q3938941	Roberto Maria Radice
Q3894362	Paolo Petraz
Q1107977	Samuel Vince
Q1571684	Halley Feiffer
Q1404613	Martin Mulsow
Q3619529	Antonio Di Carlo
Q2739339	Karl Christ
Q3129612	Helen Gibson
Q7287890	Ralph Munn
Q3082729	Frank Montgomery
Q11944630	Ramon Pla i Nadal
Q368100	Constantin Sănătescu
Q867158	Antonin Fritsch
Q194436	Jules Massenet
Q84296	Ludwig Boltzmann
Q327335	Ludvík Armbruster
Q962770	Leon Knopoff
Q432181	Sayed Kashua
Q995138	Bryanston School
Q924366	José Della Torre
Q1334423	Ely do Amparo
Q481385	2012–13 2. Fußball-Bundesliga
Q947371	Jean-Baptiste Marchand
Q17482052	2015 Australian Open
Q1508843	Georges Chaudron
Q64219477	Tropical depression Seven
Q12037604	Miloš Titz
Q369539	1996 AFC Asian Cup
Q790767	Barry Ackroyd
Q24647238	León Simar
Q726427	Philip Pendleton Barbour
Q1059226	James McDaniel
Q7154016	Paul Tierney
Q8014327	William Lascelles
Q69880	2005 Formula One season
Q6948316	Myrlie Evers-Williams
Q707020	David Chipperfield
Q314485	Edward Burns
Q4297700	Mikhailovskaya Military Artillery Academy
Q2105269	Portrait of Henri Rochefort
Q329569	Gaius Aufidius Victorinus
Q5314416	Duncan K. Foley
Q12563	Landes
Q23651608	deputy Finance Minister
Q13598	Vénissieux
Q6810775	Mel Machin
Q441192	Edward Arthur Milne
Q172183	Chaim Weizmann
Q5028	Britta Thomsen
Q189587	Bobby Robson
Q1335684	Jim Saxton
Q1329994	Elisabeth Hlavac
Q1478993	Giorgi Kekelidze
Q4831899	Ayyappanpillai Ajayaghosh
Q6415465	Kirk Jackson
Q256958	Ann Hui
Q276353	Evelyn Venable
Q321346	German submarine U-97
Q2350558	Gustaaf van der Feltz
Q4662194	Aaron Lescott
Q337454	Académie Colarossi
Q1691325	Joe B. Bates
Q310968	Alonzo Mourning
Q95846	Werner Zeyer
Q597758	University of Oldenburg
Q4238198	Gennady Krasnikov
Q437525	Allen M. Fletcher
Q12315456	Hans Kristensen
Q374317	Carl Dickinson
Q5592759	Graham Cummins
Q725857	Ibrahima Bakayoko
Q785842	John Buttigieg
Q3299831	Matthias Fekl
Q3659436	Carlo Girometta
Q393299	Battle of Vimy Ridge
Q952789	Malcolm Browne
Q3476164	Scott Alexander
Q182788	Newt Gingrich
Q21402	Retschwiller
Q90198	Hans Nieland
Q152880	Iannis Xenakis
Q628916	Carlos Roberto Gallo
Q1823418	Dmitry Muratov
Q19664103	James Cuthbert Smith
Q2039786	Otto Linck
Q3746654	Flora Carabella
Q3619511	Antonio De Vitis
Q12151978	Valentyna Semenyuk-Samsonenko
Q6354523	Kalu N'Goma
Q7360709	Rolf Dudley-Williams
Q11144228	2013–14 NBA season
Q236013	Alicia Alonso
Q301282	Xi Zhongxun
Q241280	Andy Schleck
Q2080887	Petrus Abresch
Q478319	Tom Harris
Q91664	Robert Fricke
Q3700505	How to Survive a Plague
Q2439870	Michael McMahon
Q5592892	Graham Hawkins
Q5529624	Ged Brannan
Q502607	Andrey Toshev
Q1390105	Mogens Wöldike
Q11122003	Vice-President of the Executive Council
Q69154	Konrad Hesse
Q6234908	John Garrett
Q104554	Reinhard Lettau
Q2733780	Rubén da Silva
Q72609	Albert Hauck
Q3771371	Giuseppe Russo
Q7510098	Siege of Inverness
Q460549	Ruby Wax
Q3076255	fontaine de l'Observatoire
Q9361	Bishkek
Q2172386	Rudolf Baumann
Q7177187	Peter Sutcliffe
Q1941315	Mo Udall
Q1888661	Southern Oregon University
Q7819243	Tommy Boyle
Q6256813	Per Øhrgaard
Q297334	Omar Epps
Q355869	Kęstutis
Q878563	Richard Dobbs Spaight
Q64070365	Tropical depression Five
Q1505307	Georg Maier
Q3166586	Jean-Lou Chameau
Q724095	James Hansen
Q1997170	Nobert Schindler
Q1416611	postmaster
Q6397540	Kevin Starr
Q57077	Karl Ferdinand Braun
Q108999	Røros
Q900040	Mihály Czine
Q708401	Samuel J. Kirkwood
Q235409	Petronilla of Aragon
Q2960158	Charles Roviglione
Q60031	Martin Rodbell
Q3817308	Cristina García-Orcoyen Tormo
Q742136	Ali Dia
Q247050	Mariano Trípodi
Q84809	Peter Schuster
Q31323	EFF Pioneer Award
Q231891	Yvonne Strahovski
Q60130697	Honorary citizen of Prague
Q6989976	Nelida Lobato
Q1607066	Omar Merlo
Q19288858	Jordi Martínez Planas
Q749041	Henry Edward Armstrong
Q2111473	Pro meritis scientiae et litterarum
Q7347394	Robert Martineau
Q433148	Christian Laettner
Q102632	Christoph von Marschall
Q88509	Jürgen Echternach
Q723565	Will Keane
Q360274	Wilhelm Kåge
Q311344	Mustapha Hadji
Q20826410	Cole Prize in Number Theory
Q295869	Lee Hartwell
Q1222087	Dieter Heckelmann
Q181006	John Bowers
Q4147701	1988 Grand Prix
Q2527720	Virgilio Ferrari
Q2087614	Philippe-Jacques van Bree
Q3165542	Jean-François Colosimo
Q6999543	Giovanni Busato
Q2239174	Robert Englaro
Q689302	Bohumír Šmeral
Q2502029	Leonardo José Aparecido Moura
Q5870838	George Saville
Q450602	Gila Almagor
Q3114542	Grand prix national de la poésie
Q399456	Choisel
Q29560213	Karla Kaper
Q507121	Gary Mills
Q256607	Blanchard Ryan
Q1239291	Alexander Downer
Q4581080	Christian Fredrik Michelet
Q4910584	Bill Raisbeck
Q4761496	Andy Willock
Q13133	Michelle Obama
Q942372	Louis Pierre Alexis Pothuau
Q3770865	Giuseppe Manarin
Q6096881	Ivan Marconi
Q21535	Neubois
Q519039	Hans Mock
Q447675	Douglas Nicholls
Q2651972	Mérida Municipality
Q15441405	Henry Grey Bennet
Q17253726	Henk Meijer
Q1406552	Georges-Fernand Widal
Q20876620	Gabriel Rufián
Q468484	The Longest Day
Q919677	Nicolas Touzaint
Q216011	Joachim Rücker
Q733942	Grafton Elliot Smith
Q18215074	Laurent Hoffmayer
Q68027	Verona Pooth
Q878340	Sancho of Majorca
Q667535	Mërgim Mavraj
Q36591	Vladimir Nabokov
Q1313582	Georges Picot
Q835586	Prime Minister of Serbia
Q13423378	German submarine U-1002
Q15109694	Elisabeth Zinser
Q1930238	Mikhail Voloshin
Q458784	Gia Carides
Q1491775	Giampiero Calloni
Q5970344	IEEE David Sarnoff Award
Q4893013	Bernard Coleridge, 2nd Baron Coleridge
Q724707	Mickey Hargitay
Q3195023	Ken Catchpole
Q506565	Los Angeles Film Critics Association Award for Best Supporting Actor
Q8006498	William Campbell
Q6886347	Moacyr Filho
Q19519929	Fred Howe (1895
Q405699	Aimé Cotton
Q321358	Ulisse Aldrovandi
Q1906140	Marvin Zeegelaar
Q2032970	2007 Pattaya Women's Open
Q9014613	José Moreno Torres
Q64691484	Hurricane Boris
Q2912335	Annabella of Scotland
Q2119310	Reza Ghoochannejhad
Q290629	PFC Cherno More Varna
Q4666395	Abe Hartley
Q5947663	Hurricane Gladys
Q4188162	Honoured Lawyer of Russia
Q1541885	Graham Arthur Barden
Q4504437	Anna M. Cienciala
Q17400032	Léon Gandillot
Q1717375	Jürgen Koppelin
Q1321269	Nile Ranger
Q17624464	2017 World Rowing Championships
Q726192	Fábio Júnior
Q268755	Patricia A. McKillip
Q1340708	João Soares
Q127385	Sixtus II
Q1459523	Hartmut Dost
Q732087	Yukio Edano
Q4721679	Alf Garland
Q2134369	FC Lida
Q1044329	Carolin Emcke
Q499934	Barthel Beham
Q1684380	Jay Williams
Q2055003	Socialists' Party of Catalonia
Q7597815	Stan Newens
Q99280	Hermann Heinrich Becker
Q3723308	Eliseo Croci
Q3351895	Omar Palma
Q312593	Frederick North
Q1451200	Haris Škoro
Q5676302	Harvard Centennial Medal
Q1579999	Helena Swanwick
Q204150	Pinsk
Q3769628	Giulio Drago
Q2096549	Pullela Gopichand
Q84489	Oskar Werner
Q7945770	W. Kent Fuchs
Q17199200	Tom Sutcliffe
Q5495771	Fred Lewis
Q692133	Celâl Şengör
Q1515619	Gertrud Lockmann
Q14943152	Cemile Giousouf
Q1784453	Manlio Scopigno
Q7144123	Pat Wright
Q1095834	Clarke Peters
Q315099	Peter Sarsgaard
Q974253	Gustavo Dezotti
Q2047004	Suren Yeremyan
Q1680449	Jim Gibbons
Q107815	Bernhard Bischoff
Q2440493	Order of the Victory of Socialism
Q16232505	Ryan Watts
Q2435132	Timothy Brinton
Q3760829	Wando
Q12083526	Liudmyla Bozhko
Q333863	David Alfred Thomas, 1st Viscount Rhondda
Q9254097	Enrique Espinosa
Q5453906	First Time Out
Q4717440	Alex Mathie
Q5298518	Dorothy M. Horstmann
Q42831	Ivan Turgenev
Q6059259	Matthew Quay
Q769414	Peter Hall
Q7094531	Onsager Medal
Q47486170	Charlotte Haze
Q658725	Staatliche Kunsthalle Karlsruhe
Q316605	Nenad Milijaš
Q3353204	1981 WTA German Open
Q364873	Bill Berry
Q254985	Vladimír Remek
Q718209	Emilio Castelar y Ripoll
Q350644	Luis Arconada
Q3102550	Georges Dardel
Q536449	Electronic Entertainment Expo 2011
Q15935162	Jacques Jaujard
Q377614	Sir Lowthian Bell, 1st Baronet
Q477839	London River
Q17457	Donald Knuth
Q66436641	2019 Shanghai Masters
Q7344133	Robert Everett
Q4506333	Yevgeny Tsyganov
Q1368602	Harold Rosson
Q5406522	Lewis Grabban
Q11857826	Emil Öhmann
Q6207286	Jock Bruce-Gardyne
Q3107231	Giovanni Invernizzi
Q19814791	María Cruz Díaz de Terán
Q2566093	Wettiner Gymnasium Dresden
Q29032914	Chuck Davis
Q106738	John Fenn
Q115531	Adolf Ogi
Q25579	Umeå
Q203013	Ottawa Senators
Q4775035	Antioch University
Q456047	Domhnall Gleeson
Q1026555	2015 World Championships in Athletics
Q380128	Mohamed Diamé
Q5554807	Getúlio Vargas Freitas Oliveira Júnior
Q713867	Tanneguy Duchâtel
Q295666	George Davis Snell
Q214438	Robert Menzies
Q7964845	Walter Fletcher
Q41795590	honorary doctor of Columbia University
Q26271630	2016 Connecticut Open
Q1165956	STS-104
Q5257364	Denis Maccan
Q35	Denmark
Q3658954	Carlo Alberto Quario
Q1289100	Eduard Kukan
Q236503	Fernando Collor de Mello
Q1206709	International Institute for Strategic Studies
Q237416	Dubravka Ugrešić
Q1552795	Ralf Augustin
Q22343344	Henricus Turken
Q1403977	Rodolfo Beltrandi
Q691234	Carl Schmidt
Q4216344	Roman Kartsev
Q21668008	Annibynwyr Liverpool
Q518148	Ida Kohlmeyer
Q603955	Jack Butler
Q73921	Wilhelm Kaisen
Q4354599	Michael Phillips
Q3167888	1979 World Rowing Championships
Q3141876	Croix de guerre des théâtres d'opérations extérieures
Q7175212	Peter Kippax
Q3734426	Eugenio Reale
Q76614	Friedrich Bergius
Q1353062	Erich Riedl
Q22372	Riche
Q6353634	Kalle Könkkölä
Q2587411	May Sarton
Q1389781	Philippe Torreton
Q21216	Crastatt
Q16875953	Gail Hanson
Q5530702	Gemma Bonner
Q4707086	Alan Koch
Q456840	Georgi Ivanov
Q15303589	Gerhard Fischer
Q712474	Claude Pouillet
Q4402204	David Raven
Q64216468	Hurricane Carlotta
Q121224	Rolf Rodenstock
Q3629056	Atsushi Onita
Q971199	Dale Kildee
Q2657000	Antonio Correr
Q29051287	Honoured coach of the RSFSR
Q3357493	Osvaldo Potente
Q3487499	Assignment: Earth
Q3534960	2003 Pilot Pen Tennis
Q437211	Ludmila Belousova
Q940135	United States Secretary of the Navy
Q2395351	Aldo Oviglio
Q729418	Hussein Chalayan
Q7363756	Ron Fearon
Q1120214	János Kovács
Q1097566	Stefano Torrisi
Q3830724	Leopoldo Valfrè di Bonzo
Q29062763	2017 Azerbaijan Grand Prix
Q4175034	legislator
Q299140	Deepa Mehta
Q1615702	Stefano Civeriati
Q1400067	György Urházy
Q456797	Juan Camilo Zúñiga barrera
Q701319	Ferdinando Galli-Bibiena
Q234700	Connie Willis
Q16149111	Governor of Oregon
Q359888	Tim Kaine
Q1887401	Sanchez Watt
Q2789935	Nina Scheer
Q1456034	Jules Anglès
Q29415129	Alfons Perlick
Q529593	Fritz Cremer
Q6530040	Les Thompson
Q1078152	Hisaya Morishige
Q704777	Francesco Carlini
Q4661894	Aaron Callaghan
Q1467958	Fritz Reuter
Q879810	Bjørn Floberg
Q382910	Vilmos Sebők
Q7345002	Robert Gunter
Q16512408	Konstantinos Diovouniotios
Q28	Hungary
Q64223670	Tropical depression Nine
Q347832	Ricardo Rojas
Q40	Austria
Q328881	Marcelle Lentz-Cornette
Q3751514	Franco Pezzato
Q318956	Manuel Sanchís Hontiyuelo
Q5717088	Henry Adam Procter
Q3266718	Luis Gámir Casares
Q1098410	Claus Moser, Baron Moser
Q381672	Ousmane Dabo
Q156941	Eduard Suess
Q4147409	Yekaterina Gradova
Q885596	Walter M. Pierce
Q5528212	Gavin Massey
Q2358089	Satellite Award for Best Film
Q5228622	Dave Cusack
Q64521979	Tropical Storm Miriam
Q375209	STS-58
Q21014563	Émile Marie Laurent
Q4798898	Arthur Griffith-Boscawen
Q21667184	A man, woman and two girls
Q4935567	Bobby Sibbald
Q6203632	Jiří Dolejš
Q981355	Patrick M'Boma
Q3731628	Erick Flores
Q465830	Sharmila Tagore
Q3770359	Giuseppe Corti
Q2442286	1983 World Rowing Championships
Q2222104	Pape M'Bow
Q7815859	Tom Fraser
Q3159938	Jacques Ruffié
Q11685075	Joaquín Bau Nolla
Q3092529	Félix Manuel Pérez Miyares
Q109547	Edwin Hennig
Q85483	Emmerich Joseph von Breidbach zu Bürresheim
Q64706446	Hurricane Hilda
Q2283475	Siegfried Kauder
Q16747398	2014 Skate America
Q636275	New York Botanical Garden
Q470792	Harry Hammond Hess
Q273079	Cab Calloway
Q723161	Ben Davies
Q3680204	Claudio Ricciarelli
Q24952357	Pieter Nanninck
Q2691252	Eric Jones
Q10527944	Irvin Gernon
Q12878337	Ioannis Zochios
Q553116	Judd Gregg
Q19481	Leicester City F.C.
Q309080	STS-135
Q692343	Praetorian prefect
Q94701	Heinrich Brunner
Q535027	Jonas Thern
Q1407165	Vittorio Bergamo
Q1240034	Donald Lester Jackson
Q8012278	William Heseltine
Q309483	César Pelli
Q395246	Agon Mehmeti
Q3795587	Return of the Idiot
Q61938864	Asthma Self-Management For Adolescents
Q3807922	Jens Berthel Askou
Q266092	Dr. Atl
Q7488743	Shankha Ghosh
Q884223	Fury
Q4526895	Andriy Shtoharenko
Q3769375	Giuliano Fiorini
Q748097	Raúl Rivero
Q304901	Teerasil Dangda
Q4430083	Vasiliy Yakovlevich Sofronov
Q9068983	Ricardo García Cárcel
Q847842	1996–97 Ekstraklasa
Q965768	Pete Stark
Q467715	Rene Bond
Q668546	Davis
Q105254	1. FSV Mainz 05
Q24050872	2016 NHK Trophy
Q1176322	David Rice Atchison
Q3960957	Silvio Spaventa
Q5386461	Eric F. Goldman
Q96709	Georg Knöpfle
Q1974987	USSR State Committee for Television and Radio
Q1635106	Order of Prince Danilo I
Q53045	Giuseppe Tornatore
Q5628643	Hildebrand Wolfe Harvey
Q1225262	William Spottiswoode
Q4408238	Dmitry Sarabyanov
Q5229561	Dave Penney
Q383272	2007 Copa América
Q227053	Zoumana Camara
Q9383206	Xaver Mayer
Q650243	Thomas Manfredini
Q114605	Eduard Goldstücker
Q15068594	Abram Kikoin
Q5246107	Dean Crowe
Q15358470	Moussa Dembélé
Q3848186	Marino D'Aloisio
Q3364215	Wilhelmi Malmivaara
Q174743	William Henry Welch
Q822237	Bernard Accoyer
Q16497126	Arne Dahl: Europa Blues
Q3273297	José Luis Sanz García
Q4590643	Rolf Stenersen
Q1197936	The Working Class Goes to Heaven
Q12305233	Carl Frederik Simony
Q7412116	Samuel Martin
Q3206246	Kellgren Award
Q3438659	Roger Audren de Kerdrel
Q3166782	Jean-Louis Garcia
Q104884	Caspar David Friedrich
Q948143	José Ángel Gurría
Q7170789	Pert Kelton
Q484766	Tomasz Kuszczak
Q440405	Régine Zylberberg
Q965364	Rubén Ayala
Q4233023	Dmitrii S. Korzhinskii
Q31901	Joint Special Operations Command
Q447103	Franc-Nohain
Q14901	Würselen
Q64495649	Tropical Storm Simon
Q70487	Karl von Fischer
Q535666	Eric Neal
Q483512	Isadora Duncan
Q201469	Solomon R. Guggenheim Museum
